batch_characters,iteration,model,latency_ns
1,333,dense,182700
1,334,dense,195200
1,334,structured_50,180800
1,335,structured_50,167800
1,335,dense,200100
1,336,dense,188100
1,336,structured_50,200600
1,337,structured_50,170200
1,337,dense,202400
1,338,dense,189700
1,338,structured_50,171200
1,339,structured_50,179700
1,339,dense,208200
1,340,dense,185400
1,340,structured_50,168200
1,341,structured_50,165800
1,341,dense,195000
1,342,dense,196600
1,342,structured_50,176500
1,343,structured_50,191700
1,343,dense,185000
1,344,dense,179600
1,344,structured_50,167800
1,345,structured_50,165200
1,345,dense,177300
1,346,dense,176200
1,346,structured_50,166500
1,347,structured_50,162900
1,347,dense,177200
1,348,dense,176500
1,348,structured_50,178800
1,349,structured_50,183200
1,349,dense,182800
1,350,dense,200000
1,350,structured_50,170700
1,351,structured_50,162000
1,351,dense,206200
1,352,dense,183100
1,352,structured_50,166200
1,353,structured_50,160800
1,353,dense,173100
1,354,dense,180200
1,354,structured_50,185200
1,355,structured_50,165200
1,355,dense,182000
1,356,dense,314000
1,356,structured_50,615200
1,357,structured_50,308200
1,357,dense,219200
1,358,dense,189500
1,358,structured_50,177000
1,359,structured_50,166300
1,359,dense,205600
1,360,dense,218500
1,360,structured_50,172300
1,361,structured_50,161300
1,361,dense,190100
1,362,dense,191900
1,362,structured_50,187700
1,363,structured_50,165300
1,363,dense,176600
1,364,dense,173900
1,364,structured_50,162200
1,365,structured_50,158700
1,365,dense,208900
1,366,dense,182700
1,366,structured_50,165900
1,367,structured_50,162700
1,367,dense,207700
1,368,dense,181500
1,368,structured_50,164700
1,369,structured_50,160900
1,369,dense,172000
1,370,dense,171400
1,370,structured_50,161200
1,371,structured_50,160100
1,371,dense,217300
1,372,dense,204100
1,372,structured_50,185100
1,373,structured_50,165200
1,373,dense,172400
1,374,dense,171900
1,374,structured_50,159800
1,375,structured_50,157500
1,375,dense,171300
1,376,dense,170600
1,376,structured_50,167400
1,377,structured_50,249900
1,377,dense,180700
1,378,dense,194800
1,378,structured_50,186400
1,379,structured_50,183100
1,379,dense,186000
1,380,dense,175000
1,380,structured_50,162500
1,381,structured_50,182800
1,381,dense,180200
1,382,dense,186300
1,382,structured_50,180000
1,383,structured_50,160400
1,383,dense,175200
1,384,dense,1063500
1,384,structured_50,275400
1,385,structured_50,198300
1,385,dense,204700
1,386,dense,203600
1,386,structured_50,172400
1,387,structured_50,163300
1,387,dense,172200
1,388,dense,179400
1,388,structured_50,178300
1,389,structured_50,162500
1,389,dense,186900
1,390,dense,180100
1,390,structured_50,176800
1,391,structured_50,196800
1,391,dense,210000
1,392,dense,187300
1,392,structured_50,164200
1,393,structured_50,159600
1,393,dense,201800
1,394,dense,175900
1,394,structured_50,162900
1,395,structured_50,158700
1,395,dense,458900
1,396,dense,244200
1,396,structured_50,172200
